image name,AP,AP50,AP75,APsmall,APmedium,APlarge,AR1,AR10,AR100,ARsmall,ARmedium,ARlarge
81.txt,0.6,1.0,1.0,-1,-1,0.6,0.6,0.6,0.6,-1,-1,0.6
82.txt,0.6,1.0,1.0,-1,-1,0.6,0.6,0.6,0.6,-1,-1,0.6
83.txt,0.7,1.0,1.0,-1,-1,0.7,0.7,0.7,0.7,-1,-1,0.7
84.txt,1.0,1.0,1.0,-1,-1,1.0,1.0,1.0,1.0,-1,-1,1.0
85.txt,0.35,0.5,0.5,-1,-1,0.7,0.0,0.7,0.7,-1,-1,0.7
86.txt,0.8,1.0,1.0,-1,-1,0.8,0.8,0.8,0.8,-1,-1,0.8
87.txt,0.9,1.0,1.0,-1,-1,0.9,0.9,0.9,0.9,-1,-1,0.9
88.txt,0.7504950495049505,1.0,1.0,-1,0.7504950495049505,-1,0.4,0.75,0.75,-1,0.75,-1
89.txt,0.7504950495049505,1.0,1.0,-1,0.7504950495049505,-1,0.4,0.75,0.75,-1,0.75,-1
117.txt,0.9,1.0,1.0,-1,0.9,-1,0.9,0.9,0.9,-1,0.9,-1
118.txt,0.5757425742574258,1.0,0.2524752475247525,-1,0.5757425742574258,-1,0.25,0.65,0.65,-1,0.65,-1
119.txt,0.6,1.0,1.0,-1,0.6,-1,0.3,0.6,0.6,-1,0.6,-1
12.txt,0.8,1.0,1.0,-1,-1,0.8,0.8,0.8,0.8,-1,-1,0.8
120.txt,0.7,1.0,1.0,-1,0.7,-1,0.7,0.7,0.7,-1,0.7,-1
121.txt,0.6,1.0,1.0,-1,0.6,-1,0.6,0.6,0.6,-1,0.6,-1
122.txt,0.5,1.0,0.0,-1,0.5,-1,0.5,0.5,0.5,-1,0.5,-1
123.txt,0.1,1.0,0.0,-1,0.1,-1,0.1,0.1,0.1,-1,0.1,-1
124.txt,0.100990099009901,0.504950495049505,0.0,0.0,0.2,-1,0.1,0.1,0.1,0.0,0.2,-1
125.txt,0.30297029702970296,0.504950495049505,0.504950495049505,0.0,0.6,-1,0.3,0.3,0.3,0.0,0.6,-1
126.txt,0.3,1.0,0.0,0.3,-1,-1,0.3,0.3,0.3,0.3,-1,-1
127.txt,0.0,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,-1,-1
128.txt,0.7,1.0,1.0,-1,-1,0.7,0.7,0.7,0.7,-1,-1,0.7
129.txt,0.7,1.0,1.0,-1,0.7,0.700990099009901,0.26666666666666666,0.7,0.7,-1,0.7,0.7
13.txt,0.8,1.0,1.0,-1,0.8,-1,0.8,0.8,0.8,-1,0.8,-1
130.txt,0.6,1.0,1.0,-1,-1,0.6,0.6,0.6,0.6,-1,-1,0.6
131.txt,0.201980198019802,0.504950495049505,0.0,-1,0.201980198019802,-1,0.2,0.2,0.2,-1,0.2,-1
132.txt,0.403960396039604,0.504950495049505,0.504950495049505,-1,0.0,0.8,0.4,0.4,0.4,-1,0.0,0.8
133.txt,0.6,1.0,1.0,-1,0.6,-1,0.6,0.6,0.6,-1,0.6,-1
134.txt,0.4,1.0,0.0,-1,0.4,-1,0.4,0.4,0.4,-1,0.4,-1
136.txt,0.5,1.0,0.0,-1,-1,0.5,0.5,0.5,0.5,-1,-1,0.5
137.txt,0.403960396039604,0.504950495049505,0.504950495049505,-1,0.0,0.8,0.4,0.4,0.4,-1,0.0,0.8
138.txt,0.9,1.0,1.0,-1,-1,0.9,0.9,0.9,0.9,-1,-1,0.9
139.txt,0.8,1.0,1.0,-1,0.8,-1,0.8,0.8,0.8,-1,0.8,-1
14.txt,0.8,1.0,1.0,-1,-1,0.8,0.8,0.8,0.8,-1,-1,0.8
140.txt,0.8,1.0,1.0,-1,0.8,-1,0.8,0.8,0.8,-1,0.8,-1
141.txt,0.7,1.0,1.0,-1,0.7,-1,0.7,0.7,0.7,-1,0.7,-1
142.txt,0.8252475247524753,1.0,1.0,-1,0.8,0.9,0.4,0.85,0.85,-1,0.8,0.9
143.txt,0.8,1.0,1.0,-1,0.8,-1,0.4,0.8,0.8,-1,0.8,-1
144.txt,0.9,1.0,1.0,-1,-1,0.9,0.9,0.9,0.9,-1,-1,0.9
145.txt,0.7252475247524752,1.0,1.0,-1,0.7252475247524752,-1,0.35,0.75,0.75,-1,0.75,-1
146.txt,0.4673267326732673,1.0,0.33663366336633666,-1,0.4673267326732673,-1,0.2,0.4666666666666667,0.4666666666666667,-1,0.4666666666666667,-1
147.txt,0.6,1.0,1.0,-1,0.6,-1,0.6,0.6,0.6,-1,0.6,-1
148.txt,0.8,1.0,1.0,-1,0.8,-1,0.8,0.8,0.8,-1,0.8,-1
149.txt,0.8504950495049505,1.0,1.0,-1,0.9,0.8,0.45,0.85,0.85,-1,0.9,0.8
15.txt,0.8,1.0,1.0,-1,-1,0.8,0.8,0.8,0.8,-1,-1,0.8
150.txt,0.7504950495049505,1.0,1.0,-1,-1,0.7504950495049505,0.35,0.8,0.8,-1,-1,0.8
151.txt,0.467986798679868,0.8349834983498351,0.504950495049505,-1,-1,0.5504950495049504,0.3,0.55,0.55,-1,-1,0.55
152.txt,0.6,1.0,1.0,-1,-1,0.6,0.6,0.6,0.6,-1,-1,0.6
153.txt,0.4919141914191421,0.6666666666666669,0.6666666666666669,-1,0.35,0.8,0.0,0.75,0.75,-1,0.7,0.8
155.txt,0.6,1.0,1.0,-1,-1,0.6,0.6,0.6,0.6,-1,-1,0.6
156.txt,0.6,1.0,1.0,-1,-1,0.6,0.6,0.6,0.6,-1,-1,0.6
157.txt,0.6252475247524752,1.0,1.0,-1,0.6,0.7,0.3,0.65,0.65,-1,0.6,0.7
158.txt,0.8009900990099009,1.0,1.0,-1,0.7,0.9,0.45,0.8,0.8,-1,0.7,0.9
159.txt,0.8663366336633663,1.0,1.0,-1,0.8663366336633663,-1,0.33333333333333337,0.8666666666666666,0.8666666666666666,-1,0.8666666666666666,-1
16.txt,0.8009900990099009,1.0,1.0,-1,0.7,0.9,0.45,0.8,0.8,-1,0.7,0.9
160.txt,0.5504950495049504,1.0,0.504950495049505,-1,0.6,0.5,0.3,0.55,0.55,-1,0.6,0.5
161.txt,0.5775577557755776,1.0,0.5544554455445546,-1,0.5775577557755776,-1,0.2333333333333333,0.6333333333333333,0.6333333333333333,-1,0.6333333333333333,-1
162.txt,0.4663366336633663,1.0,0.4422442244224422,-1,0.4663366336633663,-1,0.1,0.5666666666666667,0.5666666666666667,-1,0.5666666666666667,-1
163.txt,0.0,0.0,0.0,-1,0.0,-1,0.0,0.0,0.0,-1,0.0,-1
164.txt,0.7,1.0,1.0,-1,0.7,-1,0.7,0.7,0.7,-1,0.7,-1
165.txt,0.7,1.0,1.0,-1,-1,0.7,0.7,0.7,0.7,-1,-1,0.7
166.txt,0.5,1.0,0.0,-1,0.5,-1,0.5,0.5,0.5,-1,0.5,-1
167.txt,0.7514851485148515,1.0,1.0,-1,0.7514851485148515,-1,0.45,0.75,0.75,-1,0.75,-1
168.txt,0.7,1.0,1.0,-1,-1,0.7,0.7,0.7,0.7,-1,-1,0.7
169.txt,0.6,1.0,1.0,-1,0.6,-1,0.6,0.6,0.6,-1,0.6,-1
17.txt,0.601980198019802,1.0,0.504950495049505,-1,0.601980198019802,-1,0.4,0.6,0.6,-1,0.6,-1
170.txt,0.35346534653465345,0.504950495049505,0.504950495049505,-1,0.35346534653465345,-1,0.35,0.35,0.35,-1,0.35,-1
171.txt,0.9,1.0,1.0,-1,-1,0.9,0.9,0.9,0.9,-1,-1,0.9
172.txt,0.4,1.0,0.0,-1,0.4,-1,0.4,0.4,0.4,-1,0.4,-1
174.txt,0.5,1.0,0.0,-1,0.5,-1,0.5,0.5,0.5,-1,0.5,-1
